Variants,Trace,No of occurance,Document No.,Case_Duration_days,Entity,Account,Comment,Gross Amount,Vendor Name,Events,Date,Duration,Last Activity,First Activity,Recurrng_Payments
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3100000174,8,4097,403971,Reversal,24.28,Squidware,Payment performed,2017-04-04,0.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3100000189,12,4097,407713,Reversal,42.36,Ravenfruit,Payment performed,2017-04-18,0.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3100000195,12,4097,405361,Reversal,96.99,Lemonworks,Payment performed,2017-04-24,0.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3100000215,27,4097,408462,Reversal,5801.25,Timbermedia,Payment performed,2017-05-08,0.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3100000216,40,4097,403496,Reversal,142.0,Globalworks,Payment performed,2017-05-10,2.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3100000223,19,4097,408426,Reversal,5850.04,Moon Co.,Payment performed,2017-05-08,0.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3100000229,6,4097,401972,,17.99,World Electronics,Payment performed,2017-05-16,4.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3100000237,48,4097,401938,Reversal,522.99,Storm Security,Payment performed,2017-05-25,7.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3100000244,11,4097,401972,,333.16,World Electronics,Payment performed,2017-05-30,7.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3100000271,7,4097,401972,,252.5,World Electronics,Payment performed,2017-06-13,1.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3100000272,7,4097,401972,,213.92,World Electronics,Payment performed,2017-06-13,1.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3100000273,70,4097,408214,Reversal,402.22,0,Payment performed,2017-06-12,0.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3100000275,6,4097,401972,,76.48,World Electronics,Payment performed,2017-06-14,0.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3100000276,14,4097,401972,,84.64,World Electronics,Payment performed,2017-06-23,9.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3100000277,35,4097,402368,Reversal,4360.58,Imaginetworks,Payment performed,2017-06-20,0.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3100000281,12,4097,401972,,243.33,World Electronics,Payment performed,2017-07-05,7.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3100000288,2,4097,401972,Reversal,10.45,World Electronics,Payment performed,2017-06-30,0.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3100000290,2,4097,401972,,-10.45,World Electronics,Payment performed,2017-06-30,0.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200003097,8,4097,401972,,-216.72,World Electronics,Payment performed,2017-04-07,4.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200003099,8,4097,401972,,-17.1,World Electronics,Payment performed,2017-04-07,4.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200003100,8,4097,401972,,-21.6,World Electronics,Payment performed,2017-04-07,4.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200003155,35,4097,403971,,-24.28,Squidware,Payment performed,2017-04-04,0.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200003200,95,4097,403971,,-62.24,Squidware,Payment performed,2017-04-04,0.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200003201,95,4097,403971,Reversal,62.24,Squidware,Payment performed,2017-04-04,0.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200003231,6,4097,401972,,-493.85,World Electronics,Payment performed,2017-04-07,2.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200003234,7,4097,401972,,-211.6,World Electronics,Payment performed,2017-04-07,2.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200003244,7,4097,401972,,-321.35,World Electronics,Payment performed,2017-04-07,2.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200003255,7,4097,401972,,-211.6,World Electronics,Payment performed,2017-04-10,5.0,Payment performed,Document Date,1
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200003269,14,4097,401822,,-1654.84,Stormedia,Payment performed,2017-04-06,0.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200003306,7,4097,401972,,-395.83,World Electronics,Payment performed,2017-04-11,4.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200003307,7,4097,401972,,-93.6,World Electronics,Payment performed,2017-04-11,4.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200003346,7,4097,401972,,-233.3,World Electronics,Payment performed,2017-04-12,2.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200003347,7,4097,401972,,-347.83,World Electronics,Payment performed,2017-04-12,2.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200003352,7,4097,401972,,-100.2,World Electronics,Payment performed,2017-04-12,2.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200003357,7,4097,401972,,-100.2,World Electronics,Payment performed,2017-04-12,2.0,Payment performed,Document Date,1
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200003373,7,4097,401972,,-360.15,World Electronics,Payment performed,2017-04-13,2.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200003375,7,4097,401972,,-35.7,World Electronics,Payment performed,2017-04-13,2.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200003377,7,4097,401972,,-62.75,World Electronics,Payment performed,2017-04-13,2.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200003378,7,4097,401972,,-142.2,World Electronics,Payment performed,2017-04-13,2.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200003383,7,4097,401972,,-125.33,World Electronics,Payment performed,2017-04-13,2.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200003384,7,4097,401972,,-23.8,World Electronics,Payment performed,2017-04-13,2.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200003391,14,4097,401972,,-387.67,World Electronics,Payment performed,2017-04-21,10.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200003397,15,4097,401972,,-47.45,World Electronics,Payment performed,2017-04-24,13.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200003486,14,4097,401972,,-248.4,World Electronics,Payment performed,2017-04-24,11.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200003487,14,4097,401972,,-296.72,World Electronics,Payment performed,2017-04-24,11.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200003488,14,4097,401972,,-41.45,World Electronics,Payment performed,2017-04-24,11.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200003495,13,4097,401972,,-215.83,World Electronics,Payment performed,2017-04-24,11.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200003496,13,4097,401972,,-97.84,World Electronics,Payment performed,2017-04-24,11.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200003532,11,4097,401972,,-410.15,World Electronics,Payment performed,2017-04-24,6.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200003533,62,4097,407713,,-42.36,Ravenfruit,Payment performed,2017-04-18,0.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200003553,12,4097,401972,,-240.15,World Electronics,Payment performed,2017-04-24,5.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200003556,11,4097,401972,,-95.3,World Electronics,Payment performed,2017-04-24,5.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200003559,11,4097,401972,,-46.95,World Electronics,Payment performed,2017-04-24,5.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200003561,11,4097,401972,,-46.95,World Electronics,Payment performed,2017-04-24,5.0,Payment performed,Document Date,1
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200003567,8,4097,401972,,-257.42,World Electronics,Payment performed,2017-04-25,6.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200003568,11,4097,401972,,-385.15,World Electronics,Payment performed,2017-04-24,5.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200003569,11,4097,401972,,-98.25,World Electronics,Payment performed,2017-04-24,5.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200003622,11,4097,401972,,-73.95,World Electronics,Payment performed,2017-04-24,4.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200003636,16,4097,401972,,-589.22,World Electronics,Payment performed,2017-05-04,14.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200003688,21,4097,408409,,-116.06,Leopard Motors,Payment performed,2017-04-21,0.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200003693,21,4097,408409,Reversal,116.06,Leopard Motors,Payment performed,2017-04-21,0.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200003709,34,4097,401972,,-355.83,World Electronics,Payment performed,2017-05-23,32.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200003748,34,4097,401972,,-137.3,World Electronics,Payment performed,2017-05-23,29.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200003755,33,4097,401972,,-89.68,World Electronics,Payment performed,2017-05-23,29.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200003759,33,4097,401972,,-545.15,World Electronics,Payment performed,2017-05-23,29.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200003767,33,4097,401972,,-89.1,World Electronics,Payment performed,2017-05-23,29.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200003776,33,4097,401972,,-273.2,World Electronics,Payment performed,2017-05-23,29.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200003820,32,4097,401972,,-324.22,World Electronics,Payment performed,2017-05-23,28.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200003821,32,4097,401972,,-102.1,World Electronics,Payment performed,2017-05-23,28.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200003833,32,4097,401972,,-545.15,World Electronics,Payment performed,2017-05-23,27.0,Payment performed,Document Date,1
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200003835,20,4097,401972,,-815.71,World Electronics,Payment performed,2017-04-30,4.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200003843,10,4097,401972,,-40.46,World Electronics,Payment performed,2017-05-04,8.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200003862,64,4097,408272,,-448.31,Honey Technologies,Payment performed,2017-05-03,6.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200003867,60,4097,401972,,-70.8,World Electronics,Payment performed,2017-05-02,5.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200003975,9,4097,401972,,-520.15,World Electronics,Payment performed,2017-05-04,6.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200003976,9,4097,401972,,-17.85,World Electronics,Payment performed,2017-05-04,6.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200003979,9,4097,401972,,-98.1,World Electronics,Payment performed,2017-05-04,6.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200003985,9,4097,401972,,-60.15,World Electronics,Payment performed,2017-05-05,7.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200003986,9,4097,401972,,-275.38,World Electronics,Payment performed,2017-05-05,7.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200003996,8,4097,401972,,-102.6,World Electronics,Payment performed,2017-05-05,3.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200004028,18,4097,401972,,-102.6,World Electronics,Payment performed,2017-05-16,14.0,Payment performed,Document Date,1
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200004110,7,4097,401972,,-117.82,World Electronics,Payment performed,2017-05-10,2.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200004111,7,4097,401972,,-155.34,World Electronics,Payment performed,2017-05-10,2.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200004113,97,4097,408462,,-5801.25,Timbermedia,Payment performed,2017-05-08,0.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200004119,52,4097,401972,,-403.85,World Electronics,Payment performed,2017-06-23,46.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200004120,8,4097,401972,,-66.67,World Electronics,Payment performed,2017-05-10,2.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200004122,7,4097,401972,,-155.02,World Electronics,Payment performed,2017-05-10,2.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200004125,40,4097,403496,,-168.98,Globalworks,Payment performed,2017-05-10,2.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200004134,38,4097,408426,,-5850.04,Moon Co.,Payment performed,2017-05-08,0.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200004139,12,4097,401972,,-98.1,World Electronics,Payment performed,2017-05-16,7.0,Payment performed,Document Date,1
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200004140,8,4097,401972,,-570.15,World Electronics,Payment performed,2017-05-12,3.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200004141,12,4097,401972,,-70.0,World Electronics,Payment performed,2017-05-16,7.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200004142,11,4097,401972,,-525.38,World Electronics,Payment performed,2017-05-16,7.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200004143,11,4097,401972,,-254.94,World Electronics,Payment performed,2017-05-16,7.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200004144,11,4097,401972,,-405.22,World Electronics,Payment performed,2017-05-16,7.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200004145,11,4097,401972,,-276.42,World Electronics,Payment performed,2017-05-16,7.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200004146,11,4097,401972,,-675.15,World Electronics,Payment performed,2017-05-16,7.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200004147,11,4097,401972,,-254.94,World Electronics,Payment performed,2017-05-16,7.0,Payment performed,Document Date,1
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200004148,11,4097,401972,,-255.15,World Electronics,Payment performed,2017-05-16,7.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200004151,10,4097,401972,,-34.95,World Electronics,Payment performed,2017-05-16,7.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200004152,10,4097,401972,,-64.45,World Electronics,Payment performed,2017-05-16,7.0,Payment performed,Document Date,0
1,"Document Date,Invoice Received,Posting Date,Payment performed",405,3200004153,10,4097,401972,,-37.85,World Electronics,Payment performed,2017-05-16,7.0,Payment performed,Document Date,0
