Document No.,1st approval,2nd approval,Document Date,Invoice Received,Payment performed,Posting Date,Inv_Rec_Paymt,Post_Paymt,1st_2nd_App,InvRec_PosDte
3100000174,,,2017-03-27 00:00:00,2017-03-30 07:22:00,2017-04-04 00:00:00,2017-04-04 00:00:00,4.0,0,,4.0
3100000184,2017-04-03 00:00:00,,2017-03-15 00:00:00,2017-03-28 03:43:00,2017-04-07 00:00:00,2017-04-06 00:00:00,9.0,1,,8.0
3100000187,2017-03-15 00:00:00,2017-03-17 00:00:00,2017-03-03 00:00:00,2017-03-06 07:48:00,2017-05-15 00:00:00,2017-04-11 00:00:00,69.0,34,2.0,35.0
3100000189,,,2017-04-06 00:00:00,2017-04-11 08:40:00,2017-04-18 00:00:00,2017-04-18 00:00:00,6.0,0,,6.0
3100000195,,,2017-04-12 00:00:00,2017-04-20 10:38:00,2017-04-24 00:00:00,2017-04-24 00:00:00,3.0,0,,3.0
3100000199,,,2016-12-19 00:00:00,,2017-05-03 00:00:00,2017-04-28 00:00:00,,5,,
3100000215,,,2017-04-11 00:00:00,2017-04-20 07:21:00,2017-05-08 00:00:00,2017-05-08 00:00:00,17.0,0,,17.0
3100000216,,,2017-03-31 00:00:00,2017-04-07 05:05:00,2017-05-10 00:00:00,2017-05-08 00:00:00,32.0,2,,30.0
3100000223,,,2017-04-19 00:00:00,2017-04-25 10:38:00,2017-05-08 00:00:00,2017-05-08 00:00:00,12.0,0,,12.0
3100000226,2017-05-09 00:00:00,2017-05-10 00:00:00,2017-02-03 00:00:00,2017-05-04 04:54:00,2017-05-10 00:00:00,2017-05-10 00:00:00,5.0,0,1.0,5.0
3100000228,2017-05-09 00:00:00,2017-05-10 00:00:00,2017-04-21 00:00:00,2017-05-08 05:38:00,2017-05-11 00:00:00,2017-05-11 00:00:00,2.0,0,1.0,2.0
3100000229,,,2017-05-10 00:00:00,2017-05-11 03:58:00,2017-05-16 00:00:00,2017-05-12 00:00:00,4.0,4,,0.0
