Document No.,Entity,Account,Comment,Gross Amount,Vendor Name,Events,Date,Duration,Event_ID
3100000174,4097,403971,Reversal,24.28,Squidware,Document Date,2017-03-27 00:00:00,0.0,1
3100000174,4097,403971,Reversal,24.28,Squidware,Invoice Received,2017-03-30 07:22:00,3.0,2
3100000174,4097,403971,Reversal,24.28,Squidware,Posting Date,2017-04-04 00:00:00,4.0,3
3100000174,4097,403971,Reversal,24.28,Squidware,Payment performed,2017-04-04 00:00:00,0.0,4
3100000184,4097,401873,,249.01,Rabbit Brews,Document Date,2017-03-15 00:00:00,0.0,1
3100000184,4097,401873,,249.01,Rabbit Brews,Invoice Received,2017-03-28 03:43:00,13.0,2
3100000184,4097,401873,,249.01,Rabbit Brews,1st approval,2017-04-03 00:00:00,5.0,3
3100000184,4097,401873,,249.01,Rabbit Brews,Posting Date,2017-04-06 00:00:00,3.0,4
3100000184,4097,401873,,249.01,Rabbit Brews,Payment performed,2017-04-07 00:00:00,1.0,5
3100000187,4097,404999,,66.9,Willow Arts,Document Date,2017-03-03 00:00:00,0.0,1
3100000187,4097,404999,,66.9,Willow Arts,Invoice Received,2017-03-06 07:48:00,3.0,2
3100000187,4097,404999,,66.9,Willow Arts,1st approval,2017-03-15 00:00:00,8.0,3
3100000187,4097,404999,,66.9,Willow Arts,2nd approval,2017-03-17 00:00:00,2.0,4
3100000187,4097,404999,,66.9,Willow Arts,Posting Date,2017-04-11 00:00:00,25.0,5
3100000187,4097,404999,,66.9,Willow Arts,Payment performed,2017-05-15 00:00:00,34.0,6
3100000189,4097,407713,Reversal,42.36,Ravenfruit,Document Date,2017-04-06 00:00:00,0.0,1
3100000189,4097,407713,Reversal,42.36,Ravenfruit,Invoice Received,2017-04-11 08:40:00,5.0,2
3100000189,4097,407713,Reversal,42.36,Ravenfruit,Posting Date,2017-04-18 00:00:00,6.0,3
3100000189,4097,407713,Reversal,42.36,Ravenfruit,Payment performed,2017-04-18 00:00:00,0.0,4
3100000195,4097,405361,Reversal,96.99,Lemonworks,Document Date,2017-04-12 00:00:00,0.0,1
