,Document No.,Entity,Account,Comment,Gross Amount in house currency,Vendor Name,Events,Date
0,3100000174,4097,403971,,24.28,Squidware,Document Date,2017-03-27 00:00:00
1,3100000174,4097,403971,,24.28,Squidware,Invoice Receival = Doc Arrival Date ,2017-03-30 07:22:00
2,3100000174,4097,403971,,24.28,Squidware,Posting Date = Invoice approved,2017-04-04 00:00:00
3,3100000174,4097,403971,,24.28,Squidware,Compensation = Payment performed,2017-04-04 00:00:00
4,3100000184,4097,401873,,249.01,Rabbit Brews,Document Date,2017-03-15 00:00:00
5,3100000184,4097,401873,,249.01,Rabbit Brews,Invoice Receival = Doc Arrival Date ,2017-03-28 03:43:00
6,3100000184,4097,401873,,249.01,Rabbit Brews,Invoice approved = 1st approval,2017-04-03 00:00:00
7,3100000184,4097,401873,,249.01,Rabbit Brews,Posting Date = Invoice approved,2017-04-06 00:00:00
8,3100000184,4097,401873,,249.01,Rabbit Brews,Compensation = Payment performed,2017-04-07 00:00:00
9,3100000187,4097,404999,,66.9,Willow Arts,Document Date,2017-03-03 00:00:00
10,3100000187,4097,404999,,66.9,Willow Arts,Invoice Receival = Doc Arrival Date ,2017-03-06 07:48:00
11,3100000187,4097,404999,,66.9,Willow Arts,Invoice approved = 1st approval,2017-03-15 00:00:00
12,3100000187,4097,404999,,66.9,Willow Arts,Invoice approved = 2nd approval,2017-03-17 00:00:00
13,3100000187,4097,404999,,66.9,Willow Arts,Posting Date = Invoice approved,2017-04-11 00:00:00
14,3100000187,4097,404999,,66.9,Willow Arts,Compensation = Payment performed,2017-05-15 00:00:00
15,3100000188,4097,401972,,30.08,World Electronics,Document Date,2017-04-11 00:00:00
16,3100000188,4097,401972,,30.08,World Electronics,Invoice Receival = Doc Arrival Date ,2017-04-12 04:47:00
17,3100000188,4097,401972,,30.08,World Electronics,Posting Date = Invoice approved,2017-04-13 00:00:00
18,3100000188,4097,401972,,30.08,World Electronics,Compensation = Payment performed,2017-04-24 00:00:00
19,3100000188,4097,401972,,30.08,World Electronics,Invoice approved = 1st approval,2017-07-17 00:00:00
20,3100000189,4097,407713,,42.36,Ravenfruit,Document Date,2017-04-06 00:00:00
21,3100000189,4097,407713,,42.36,Ravenfruit,Invoice Receival = Doc Arrival Date ,2017-04-11 08:40:00
22,3100000189,4097,407713,,42.36,Ravenfruit,Posting Date = Invoice approved,2017-04-18 00:00:00
23,3100000189,4097,407713,,42.36,Ravenfruit,Compensation = Payment performed,2017-04-18 00:00:00
24,3100000195,4097,405361,,96.99,Lemonworks,Document Date,2017-04-12 00:00:00
25,3100000195,4097,405361,,96.99,Lemonworks,Invoice Receival = Doc Arrival Date ,2017-04-20 10:38:00
26,3100000195,4097,405361,,96.99,Lemonworks,Posting Date = Invoice approved,2017-04-24 00:00:00
27,3100000195,4097,405361,,96.99,Lemonworks,Compensation = Payment performed,2017-04-24 00:00:00
28,3100000196,4097,401972,,146.0,World Electronics,Document Date,2017-04-21 00:00:00
29,3100000196,4097,401972,,146.0,World Electronics,Invoice Receival = Doc Arrival Date ,2017-04-22 03:51:00
30,3100000196,4097,401972,,146.0,World Electronics,Posting Date = Invoice approved,2017-04-26 00:00:00
